,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
790,QY4WJP6v,peugeot,207i,1398,45000,317000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
791,QY4Wp401,hyundai,veloster,2014,200000,740000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
792,QY4WJKdX,pride,131,1398,36000,144000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,1
793,QY4Wp2CU,mazda,3n-sedan-ir,1396,75000,910000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
794,QYzKCU3G,kia,cerato-ir,1395,96000,630000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
795,QY4SJ64G,pride,sedan,1383,250000,49000000,آلبالویی,سالم,سالم و پلمپ,صافکاری بیu200cرنگ، در ۱ ناحیه,11
796,QYwC3A4u,renault,talisman,2018,1800,1900000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
797,QY3Oh1wb,lexus,nx-300-h,2016,12000,3420000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در چند ناحیه,9
798,QY4-onBC,peugeot,206,1390,118000,139500000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,12
799,QYuWi6Ej,bmw,5-series-sedan,2013,88000,1750000000,بژ,سالم,سالم و پلمپ,رنگu200cشدگی در ۳ ناحیه,9
800,QY4OJU7_,peugeot,pars,1398,34000,252000000,سفید,سالم,,سالم و بیu200cخط و خش,1
801,QYf6UVaw,quick,manual,1400,0,191000000,سفید,سالم,,,12
802,QY4OpUgN,pride,131,1390,270,85000000,نقرهu200cای,سالم,,رنگu200cشدگی در ۲ ناحیه,3
803,QY4O5L87,pride,132,1390,225000,75000000,سفید,سالم,,خط و خش جزیی,11
804,QY4Kp7UT,hyundai,i20-ir,1396,49300,720000000,نقرهu200cای,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
805,QYy2_ot8,dongfeng,h30-cross,1396,42000,335000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
806,QY4KpdUW,pride,131,1392,220000,91000000,نوکu200cمدادی,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,7
807,QYgy77vM,renault,sandero,1395,120000,373000000,مشکی,سالم,سالم و پلمپ,صافکاری بیu200cرنگ، در ۲ ناحیه,1
808,QY4Op_Yu,chery,tiggo-7,1400,0,347000000,سفید صدفی,سالم,,,12
809,QYGde9vZ,saina,manual,1400,0,176000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
810,QY4K5Wf7,quick,manual,1400,0,212800000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
811,QYg6oky5,mvm,x22,1400,1,150000000,قرمز,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
812,QY4O5kJR,pride,sedan,1381,210000,38500000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,10
813,QY4GZcY7,peugeot,206,1396,100000,210000000,خاکستری,سالم,,رنگu200cشدگی، در چند ناحیه,8
814,QY4OpE3A,quick,manual,1400,14700,186000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,10
815,QY4GJUPu,citroen,xantia,1385,320000,200000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,3
816,QY4OJIyZ,alfa-romeo,giulietta,2017,69000,1500000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,3
817,QY1q-M7V,pride,hatchback,1385,240000,59500000,سفید,سالم,,رنگu200cشدگی در ۲ ناحیه,9
818,QY4OpMH_,runna,plus,1400,150,263000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
819,QYRSTqm7,renault,koleos,2018,24000,1940000000,بژ,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
820,QY3S0Aw8,saina,manual,1397,60000,164000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
821,QY4KJXxZ,samand,el,1389,190000,108000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,4
822,QY4C5Qv_,peugeot,206-sd,1393,143000,196000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,8
823,QYwuTxbk,peugeot,405,1397,70000,203000000,دلفینی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
824,QY4GZ9PE,dignity,,1400,0,1300000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
825,QY4-4uAY,hyundai,verna,1385,160000,180000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,6
826,QY4-oapt,peugeot,206,1399,12000,240000000,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,8
827,QY4-YNhJ,quick,manual,1398,25000,183000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
828,QY46YhbP,renault,sandero-stepway,1398,12800,639000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
829,QY3qwKga,peugeot,206,1399,15700,252000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,11
830,QY4uY-Cr,samand,x7,1383,280000,85000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,7
831,QY4C5dAc,kia,cerato,2015,32024,1050000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
832,QY4CJHES,quick,manual,1398,64000,178000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
833,QY42YB9i,pride,131,1388,200000,68000000,نقرهu200cای,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
834,QYP6tkt9,peugeot,206,1394,130000,180000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
835,QY9AOK4Y,mvm,x33s,1400,0,169000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
836,QYhd2wmb,chery,arrizo-6,1400,0,262000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
837,QYvuy5Ni,peugeot,206,1398,12000,290000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
